ID;INDICATOR;UNIT;UNIT_NUM;STUB_NAME;STUB_NAME_NUM;STUB_LABEL;STUB_LABEL_NUM;YEAR;YEAR_NUM;AGE;AGE_NUM
1;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1950;1;All ages;0
2;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1960;2;All ages;0
3;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1970;3;All ages;0
4;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1980;4;All ages;0
5;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1981;5;All ages;0
6;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1982;6;All ages;0
7;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1983;7;All ages;0
8;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1984;8;All ages;0
9;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1985;9;All ages;0
10;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1986;10;All ages;0
11;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1987;11;All ages;0
12;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1988;12;All ages;0
13;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1989;13;All ages;0
14;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1990;14;All ages;0
15;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1991;15;All ages;0
16;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1992;16;All ages;0
17;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1993;17;All ages;0
18;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1994;18;All ages;0
19;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1995;19;All ages;0
20;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1996;20;All ages;0
21;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1997;21;All ages;0
22;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1998;22;All ages;0
23;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;1999;23;All ages;0
24;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;2000;24;All ages;0
25;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;2001;25;All ages;0
26;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;2002;26;All ages;0
27;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;2003;27;All ages;0
28;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;2004;28;All ages;0
29;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;2005;29;All ages;0
30;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;2006;30;All ages;0
31;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;2007;31;All ages;0
32;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;2008;32;All ages;0
33;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;2009;33;All ages;0
34;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;2010;34;All ages;0
35;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;2011;35;All ages;0
36;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;2012;36;All ages;0
37;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;2013;37;All ages;0
38;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;2014;38;All ages;0
39;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;2015;39;All ages;0
40;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;2016;40;All ages;0
41;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;2017;41;All ages;0
42;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Total;0;All persons;0;2018;42;All ages;0
43;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1950;1;All ages;0
44;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1960;2;All ages;0
45;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1970;3;All ages;0
46;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1980;4;All ages;0
47;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1981;5;All ages;0
48;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1982;6;All ages;0
49;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1983;7;All ages;0
50;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1984;8;All ages;0
51;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1985;9;All ages;0
52;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1986;10;All ages;0
53;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1987;11;All ages;0
54;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1988;12;All ages;0
55;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1989;13;All ages;0
56;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1990;14;All ages;0
57;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1991;15;All ages;0
58;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1992;16;All ages;0
59;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1993;17;All ages;0
60;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1994;18;All ages;0
61;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1995;19;All ages;0
62;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1996;20;All ages;0
63;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1997;21;All ages;0
64;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1998;22;All ages;0
65;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;1999;23;All ages;0
66;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;2000;24;All ages;0
67;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;2001;25;All ages;0
68;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;2002;26;All ages;0
69;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;2003;27;All ages;0
70;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;2004;28;All ages;0
71;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;2005;29;All ages;0
72;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;2006;30;All ages;0
73;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;2007;31;All ages;0
74;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;2008;32;All ages;0
75;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;2009;33;All ages;0
76;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;2010;34;All ages;0
77;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;2011;35;All ages;0
78;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;2012;36;All ages;0
79;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;2013;37;All ages;0
80;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;2014;38;All ages;0
81;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;2015;39;All ages;0
82;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;2016;40;All ages;0
83;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;2017;41;All ages;0
84;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Male;2.1;2018;42;All ages;0
85;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1950;1;All ages;0
86;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1960;2;All ages;0
87;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1970;3;All ages;0
88;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1980;4;All ages;0
89;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1981;5;All ages;0
90;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1982;6;All ages;0
91;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1983;7;All ages;0
92;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1984;8;All ages;0
93;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1985;9;All ages;0
94;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1986;10;All ages;0
95;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1987;11;All ages;0
96;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1988;12;All ages;0
97;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1989;13;All ages;0
98;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1990;14;All ages;0
99;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1991;15;All ages;0
100;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1992;16;All ages;0
101;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1993;17;All ages;0
102;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1994;18;All ages;0
103;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1995;19;All ages;0
104;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1996;20;All ages;0
105;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1997;21;All ages;0
106;Death rates for suicide;Deaths per 100,000 resident population, age-adjusted;1;Sex;2;Female;2.2;1998;22;All ages;0
